FA,CHC,CHH,COND,CECN,SEP,T,TIPOFALLA
S5,S5,S5,S5,S4,S0,0.862,B0
S5,S4,S4,S5,S5,S5,0.914,C2
S5,S4,S4,S5,S5,S5,0.914,C2
S5,S4,S5,S5,S5,S5,0.886,E2
S5,S4,S5,S5,S5,S5,0.886,E2
S5,S4,S5,S5,S5,S5,0.898,B0
S5,S3,S4,S5,S4,S5,0.82,E2.I
S5,S3,S4,S5,S4,S5,0.82,E2.I
S5,S3,S4,S5,S4,S5,0.82,B0
S5,S3,S4,S5,S4,S5,0.82,B0
S5,S3,S4,S5,S4,S5,0.826,B0
S5,S3,S4,S5,S4,S5,0.82,B0
S5,S3,S4,S5,S4,S5,0.82,B0
S5,S3,S4,S5,S4,S5,0.82,B0
S5,S3,S4,S5,S4,S5,0.826,B0
S5,S3,S4,S5,S4,S5,0.826,B0
S5,S3,S4,S5,S4,S5,0.826,B0
S5,S3,S4,S5,S4,S5,0.826,C0
S5,S3,S4,S5,S4,S5,0.826,C0
S5,S3,S4,S5,S4,S5,0.826,B0
S5,S3,S4,S5,S4,S5,0.826,B0
S5,S3,S4,S5,S4,S5,0.826,C0
S5,S3,S4,S5,S4,S5,0.806,B0
S5,S3,S4,S5,S4,S5,0.826,B0
S5,S3,S4,S5,S4,S5,0.806,B0
S5,S3,S4,S5,S4,S5,0.806,B0
S5,S3,S4,S5,S4,S5,0.806,B0
S5,S3,S4,S5,S4,S5,0.806,B0
S5,S3,S4,S5,S4,S5,0.806,B0
S5,S3,S4,S5,S4,S5,0.806,B0
S5,S3,S4,S5,S4,S5,0.806,B0
S5,S3,S4,S5,S4,S5,0.806,B0
S5,S3,S4,S5,S4,S5,0.826,B0
S5,S3,S4,S5,S4,S5,0.806,B0
S5,S3,S4,S5,S4,S5,0.806,B0
S5,S3,S4,S5,S4,S5,0.82,B0
S4,S3,S4,S5,S4,S5,0.762,E2.I
S4,S3,S4,S5,S4,S5,0.762,E2.I
S4,S3,S4,S5,S4,S5,0.762,E2.I
S4,S3,S4,S5,S4,S5,0.762,E2.I
S4,S3,S4,S5,S4,S5,0.762,A1
S4,S3,S4,S5,S4,S5,0.762,B0
S4,S3,S4,S5,S4,S5,0.762,B0
S4,S3,S4,S5,S4,S5,0.762,B0
S4,S3,S4,S5,S4,S5,0.762,B0
S4,S3,S4,S5,S4,S5,0.762,B0
S4,S3,S4,S5,S4,S5,0.762,B0
S4,S3,S4,S5,S4,S5,0.762,C2
S4,S3,S4,S5,S4,S5,0.762,C2
S5,S3,S4,S5,S4,S5,0.788,C2
S5,S3,S4,S5,S4,S5,0.788,C2
S5,S3,S4,S5,S4,S5,0.808,B0
S5,S3,S4,S5,S4,S5,0.808,B0
S5,S3,S4,S5,S4,S5,0.808,C2
S5,S3,S4,S5,S4,S5,0.828,B0
S5,S3,S4,S5,S4,S5,0.828,B0
S5,S3,S4,S5,S4,S5,0.814,B0
S5,S3,S4,S5,S4,S5,0.814,B0
S5,S3,S4,S5,S4,S5,0.808,B0
S5,S3,S4,S5,S4,S5,0.828,C2
S5,S3,S4,S5,S4,S5,0.834,B0
S5,S3,S4,S5,S4,S5,0.808,B0
S5,S3,S4,S5,S4,S5,0.788,C0
S5,S3,S4,S5,S4,S5,0.794,A5
S5,S3,S4,S5,S4,S5,0.788,C2
S5,S3,S4,S5,S4,S5,0.794,C2
S5,S3,S4,S5,S4,S5,0.788,B0
S5,S3,S4,S5,S4,S5,0.788,B0
S5,S3,S4,S5,S4,S5,0.794,B0
S5,S3,S4,S5,S4,S5,0.808,B0
S5,S3,S4,S5,S4,S5,0.814,B0
S5,S3,S4,S5,S4,S5,0.808,C2
S5,S3,S4,S5,S4,S5,0.808,B0
S5,S3,S4,S5,S4,S5,0.808,B0
S4,S3,S4,S5,S4,S3,0.766,C2
S4,S3,S4,S5,S4,S3,0.766,C2
S4,S3,S4,S5,S4,S3,0.766,C2
S4,S3,S4,S5,S4,S3,0.766,C2
S4,S3,S4,S5,S4,S3,0.766,C2
S4,S3,S4,S5,S4,S3,0.766,C2
S4,S3,S4,S5,S4,S3,0.766,B0
S4,S3,S4,S5,S4,S3,0.766,C2
S4,S3,S4,S5,S4,S3,0.766,C2
S4,S3,S4,S5,S4,S3,0.766,B0
S4,S3,S4,S5,S4,S3,0.766,B0
S4,S3,S4,S5,S4,S3,0.766,B0
S4,S3,S4,S5,S4,S3,0.766,B0
S4,S3,S4,S5,S4,S3,0.766,B0
S4,S3,S4,S5,S4,S3,0.766,C2
S4,S3,S4,S5,S4,S3,0.766,C2
S4,S5,S5,S5,S5,S5,0.97,B0
S4,S5,S5,S5,S5,S5,0.97,B0
S4,S5,S5,S5,S5,S5,0.97,B0
S4,S5,S5,S5,S5,S5,0.97,B0
S4,S5,S5,S5,S5,S5,0.97,E2.I
S4,S5,S5,S5,S5,S5,0.97,B0
S4,S5,S5,S5,S5,S5,0.97,B0
S4,S5,S5,S5,S5,S5,0.956,B0
S4,S5,S5,S5,S5,S5,0.956,B0
S4,S5,S5,S5,S5,S5,0.956,A5
S4,S5,S5,S5,S5,S5,0.956,A5
S4,S5,S5,S5,S5,S5,0.956,C1
S4,S5,S5,S5,S5,S5,0.956,C1
S4,S5,S5,S5,S5,S5,0.956,C1
S4,S5,S5,S5,S5,S5,0.956,C1
S4,S5,S5,S5,S5,S5,0.956,C1
S4,S5,S5,S5,S5,S5,0.956,C1
S4,S5,S5,S5,S5,S5,0.956,C1
S4,S5,S5,S5,S5,S5,0.956,C1
S4,S3,S4,S5,S4,S4,0.82,B0
S4,S3,S4,S5,S4,S4,0.78,C2
S4,S3,S4,S5,S4,S4,0.78,C2
S4,S3,S4,S5,S4,S4,0.78,A1
S4,S3,S4,S5,S4,S4,0.78,B0
S4,S3,S4,S5,S4,S4,0.82,B0
S4,S3,S4,S5,S4,S4,0.78,B0
S4,S3,S4,S5,S4,S4,0.78,C2
S4,S3,S4,S5,S4,S4,0.78,C2
S4,S3,S4,S5,S4,S4,0.78,C2
S4,S3,S4,S5,S4,S4,0.78,C2
S4,S3,S4,S5,S4,S4,0.78,C2
S4,S3,S4,S5,S4,S4,0.78,C2
S4,S3,S4,S5,S4,S4,0.78,C2
S4,S3,S4,S5,S4,S4,0.78,C2
S4,S3,S4,S5,S4,S4,0.78,C2
S4,S3,S4,S5,S4,S5,0.77,B0
S4,S3,S4,S5,S4,S5,0.77,B0
S4,S3,S4,S5,S4,S5,0.77,A5
S4,S3,S4,S5,S4,S5,0.77,A5
S4,S3,S4,S5,S4,S5,0.77,A5
S4,S3,S4,S5,S4,S5,0.77,A5
S4,S3,S4,S5,S4,S5,0.77,A5
S4,S3,S4,S5,S4,S5,0.77,B0
S4,S3,S4,S5,S4,S5,0.77,B0
S4,S3,S4,S5,S4,S5,0.77,B0
S4,S3,S4,S5,S4,S5,0.85,B0
S4,S3,S4,S5,S4,S5,0.85,B0
S4,S3,S4,S5,S4,S5,0.85,B0
S4,S3,S4,S5,S4,S5,0.85,B0
S4,S3,S4,S5,S4,S5,0.85,B0
S4,S3,S4,S5,S4,S5,0.83,B0
S4,S3,S4,S5,S4,S5,0.824,B0
S4,S3,S4,S5,S4,S5,0.824,B0
S4,S3,S4,S5,S4,S5,0.824,C1
S4,S3,S4,S5,S4,S5,0.824,C1
S4,S3,S4,S5,S4,S5,0.824,B0
S4,S3,S4,S5,S4,S5,0.824,B0
S4,S3,S4,S5,S4,S5,0.824,C1
S4,S3,S4,S5,S4,S5,0.824,C1
S4,S3,S4,S5,S4,S5,0.824,B0
